도시명,시군구,학교명,학교 학생 수,최종 동질성 지수(H_m),소비 획일성 지수,소비 1위 업종,소비 2위 업종,소비 3위 업종,사회 문화 획일성 지수,진로 획일성 지수,진로 노출 획일성 지수,학구 순전입률
대구광역시,달서구,구남중학교,98,1.330675444,0.4321,,,,0.973726,0.30887,0.3515,0.4379562044
대구광역시,달성군,대구포산초등학교,977,0.8160293287,0.4321,,,,0.946418,1,0.3487,0
대구광역시,북구,대구복현초등학교,973,0.8268357655,0.4321,,,,0.964922,1,0.3493,-1.952723535
대구광역시,달성군,대구다사초등학교,971,0.8142048246,0.4321,,,,0.94327,1,0.3487,-0.4480286738
대구광역시,동구,달구벌고등학교,97,1.327870586,0.4321,,,,0.962626,0.41083,0.3499,0
대구광역시,북구,강북중학교,950,0.7433764933,0.4321,,,,0.965507,0.458606,0.3493,-0.8176918788
대구광역시,동구,대구공업고등학교,950,0.7125779532,0.4321,,,,0.954906,0.0439,0.3499,0
대구광역시,달서구,대구월서초등학교,948,0.918868374,0.4321,,,,0.969506,1,0.3515,0.8438818565
대구광역시,수성구,대륜고등학교,946,0.8200916218,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.977557,0.378054,0.3313,0.6116852985
대구광역시,달서구,상서고등학교,944,0.7240445474,0.4321,,,,0.971607,0.055856,0.3515,0
대구광역시,수성구,경신중학교,931,0.7769954566,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.978955,0.645965,0.3313,-0.21595357
대구광역시,달성군,대구하빈초등학교,93,1.442267244,0.4321,,,,0.912961,1,0.3487,-0.4480286738
대구광역시,북구,대구사수초등학교,928,0.8254429118,0.4321,,,,0.962534,1,0.3493,-9.267241379
대구광역시,동구,강동중학교,921,0.7327061105,0.4321,,,,0.957559,0.071964,0.3499,0.0488997555
대구광역시,북구,대구관문초등학교,919,0.8241333091,0.4321,,,,0.960287,1,0.3493,-7.290533188
대구광역시,수성구,소선여자중학교,915,0.7538170474,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.978943,0.452162,0.3313,-0.21595357
대구광역시,북구,대구일중학교,909,0.7874528166,0.4321,,,,0.95945,0.319255,0.3493,0.5465547531
대구광역시,수성구,대구동성초등학교,906,1.133370816,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.973785,1,0.3313,8.719646799
대구광역시,동구,대구강동초등학교,900,0.822517931,0.4321,,,,0.95744,1,0.3499,-0.7777777778
대구광역시,달성군,대구강림초등학교,897,0.8151046563,0.4321,,,,0.944823,1,0.3487,-0.2120890774
대구광역시,수성구,오성중학교,897,0.7709195116,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.978928,0.600832,0.3313,-0.21595357
대구광역시,달성군,왕선중학교,894,0.7822279663,0.4321,,,,0.947023,0.093635,0.3487,0.9021842355
대구광역시,달성군,유가중학교,874,0.8068921797,0.4321,,,,0.949106,0.466846,0.3487,0.8583690987
대구광역시,북구,대구달산초등학교,873,0.9831276079,0.4321,,,,0.960172,1,0.3493,3.207331042
대구광역시,달서구,대구상원고등학교,861,0.7546746075,0.4321,,,,0.945077,0.364228,0.3515,0.1883910387
대구광역시,달서구,대구한솔초등학교,858,0.8266878001,0.4321,,,,0.964402,1,0.3515,-2.207727045
대구광역시,북구,동평중학교,856,0.7358824846,0.4321,,,,0.964266,0.388575,0.3493,-0.8176918788
대구광역시,수성구,경북고등학교,849,0.8103060994,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.963967,0.451719,0.3313,0.6116852985
대구광역시,수성구,대륜중학교,843,0.7825170731,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.978881,0.685107,0.3313,-0.21595357
대구광역시,동구,대구효동초등학교,84,1.475893826,0.4321,,,,0.930879,1,0.3499,-9.523809524
대구광역시,동구,대구신천초등학교,835,0.8208896329,0.4321,,,,0.954641,1,0.3499,-3.952095808
대구광역시,동구,대구반야월초등학교,833,0.9189292434,0.4321,,,,0.956223,1,0.3499,1.320528211
대구광역시,수성구,대구중앙초등학교,832,0.8343059355,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.974063,1,0.3313,-2.283653846
대구광역시,동구,대구봉무초등학교,832,0.822271755,0.4321,,,,0.957017,1,0.3499,-5.528846154
대구광역시,동구,새론중학교,830,0.7433995288,0.4321,,,,0.954593,0.357296,0.3499,0.0488997555
대구광역시,서구,계성고등학교,823,0.7368629118,0.4321,,,,0.915441,0.395489,0.3622,0.1883910387
대구광역시,동구,대구동부고등학교,817,0.8245466914,0.4321,,,,0.962626,0.644552,0.3499,0.6116852985
대구광역시,동구,대구공산초등학교,81,1.492676799,0.4321,,,,0.942049,1,0.3499,-12.34567901
대구광역시,동구,강동고등학교,808,0.7975663714,0.4321,,,,0.944474,0.546804,0.3499,0.6116852985
대구광역시,북구,학남고등학교,805,0.7787627703,0.4321,,,,0.946944,0.366126,0.3493,0.6116852985
대구광역시,달서구,대구성당초등학교,803,0.8246212447,0.4321,,,,0.960857,1,0.3515,-3.362391034
대구광역시,수성구,능인고등학교,803,0.8127949298,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.976351,0.426857,0.3313,0.6116852985
대구광역시,달서구,경원고등학교,803,0.7931586866,0.4321,,,,0.973726,0.561163,0.3515,0.1883910387
대구광역시,수성구,대구여자고등학교,801,0.7978355954,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.965939,0.348072,0.3313,0.6116852985
대구광역시,달성군,한울안중학교,80,1.314560895,0.4321,,,,0.955971,0.153171,0.3487,0
대구광역시,동구,대구송정초등학교,799,0.7806927173,0.4321,,,,0.95011,0.799762,0.3499,-2.628285357
대구광역시,서구,달성고등학교,798,0.7571270548,0.4321,,,,0.907087,0.613861,0.3622,0.1883910387
대구광역시,달서구,영남중학교,798,0.7530306381,0.4321,,,,0.97289,0.502517,0.3515,-0.4607307404
대구광역시,수성구,대구남산고등학교,795,0.8177231961,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.977156,0.473067,0.3313,0.6116852985
대구광역시,달서구,대진중학교,793,0.748841222,0.4321,,,,0.971203,0.473931,0.3515,-0.4607307404
대구광역시,달성군,포산중학교,790,0.7971104061,0.4321,,,,0.947533,0.452618,0.3487,0.8583690987
대구광역시,북구,대구동평초등학교,789,0.8555987802,0.4321,,,,0.965071,1,0.3493,0.1267427123
대구광역시,동구,대구율원초등학교,788,0.8186466423,0.4321,,,,0.950781,1,0.3499,-2.664974619
대구광역시,수성구,영남공업고등학교,784,0.7302448877,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.977971,0.016173,0.3313,0
대구광역시,수성구,신명여자중학교,783,0.7381579788,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.977969,0.264558,0.3313,-0.21595357
